Datos que encuentra el metodo de Rungecuta(variable ind.	 variable dep.	 numero de thread)
0.014200	 0.808456 	 numero de thread:0
0.014263	 0.808559 	 numero de thread:0
0.014326	 0.808661 	 numero de thread:0
0.014388	 0.808764 	 numero de thread:0
0.014451	 0.808866 	 numero de thread:0
0.014514	 0.808969 	 numero de thread:0
0.014577	 0.809071 	 numero de thread:0
0.014640	 0.809174 	 numero de thread:0
0.014703	 0.809276 	 numero de thread:0
0.014765	 0.809379 	 numero de thread:0
0.014828	 0.809481 	 numero de thread:0
0.014891	 0.809584 	 numero de thread:0
0.014954	 0.809686 	 numero de thread:0
0.015017	 0.809789 	 numero de thread:0
0.015080	 0.809891 	 numero de thread:0
0.015142	 0.809994 	 numero de thread:0
0.015205	 0.810096 	 numero de thread:0
0.015268	 0.810199 	 numero de thread:0
0.015331	 0.810301 	 numero de thread:0
0.015394	 0.810404 	 numero de thread:0
0.015457	 0.810506 	 numero de thread:0
0.015519	 0.810609 	 numero de thread:0
0.015582	 0.810711 	 numero de thread:0
0.015645	 0.810814 	 numero de thread:0
0.015708	 0.810917 	 numero de thread:0
0.015771	 0.811019 	 numero de thread:0
0.015834	 0.811122 	 numero de thread:0
0.015896	 0.811224 	 numero de thread:0
0.015959	 0.811327 	 numero de thread:0
0.016022	 0.811429 	 numero de thread:0
0.016085	 0.811532 	 numero de thread:0
0.016148	 0.811635 	 numero de thread:0
0.016211	 0.811737 	 numero de thread:0
0.016273	 0.811840 	 numero de thread:0
0.016336	 0.811942 	 numero de thread:0
0.016399	 0.812045 	 numero de thread:0
0.016462	 0.812148 	 numero de thread:0
0.016525	 0.812250 	 numero de thread:0
0.016588	 0.812353 	 numero de thread:0
0.016650	 0.812456 	 numero de thread:0
0.016713	 0.812558 	 numero de thread:0
0.016776	 0.812661 	 numero de thread:0
0.016839	 0.812763 	 numero de thread:0
0.016902	 0.812866 	 numero de thread:0
0.016965	 0.812969 	 numero de thread:0
0.017027	 0.813071 	 numero de thread:0
0.017090	 0.813174 	 numero de thread:0
0.017153	 0.813277 	 numero de thread:0
0.017216	 0.813379 	 numero de thread:0
0.017279	 0.813482 	 numero de thread:0
0.017342	 0.813585 	 numero de thread:0
0.017404	 0.813687 	 numero de thread:0
0.017467	 0.813790 	 numero de thread:0
0.017530	 0.813893 	 numero de thread:0
0.017593	 0.813995 	 numero de thread:0
0.017656	 0.814098 	 numero de thread:0
0.017719	 0.814201 	 numero de thread:0
0.017781	 0.814303 	 numero de thread:0
0.017844	 0.814406 	 numero de thread:0
0.017907	 0.814509 	 numero de thread:0
0.017970	 0.814612 	 numero de thread:0
0.018033	 0.814714 	 numero de thread:0
0.018096	 0.814817 	 numero de thread:0
0.018158	 0.814920 	 numero de thread:0
0.018221	 0.815022 	 numero de thread:0
0.018284	 0.815125 	 numero de thread:0
0.018347	 0.815228 	 numero de thread:0
0.018410	 0.815331 	 numero de thread:0
0.018473	 0.815433 	 numero de thread:0
0.018535	 0.815536 	 numero de thread:0
0.018598	 0.815639 	 numero de thread:0
0.018661	 0.815742 	 numero de thread:0
0.018724	 0.815844 	 numero de thread:0
0.018787	 0.815947 	 numero de thread:0
0.018850	 0.816050 	 numero de thread:0
0.018912	 0.816153 	 numero de thread:0
0.018975	 0.816255 	 numero de thread:0
0.019038	 0.816358 	 numero de thread:0
0.019101	 0.816461 	 numero de thread:0
0.019164	 0.816564 	 numero de thread:0
0.019227	 0.816666 	 numero de thread:0
0.019289	 0.816769 	 numero de thread:0
0.019352	 0.816872 	 numero de thread:0
0.019415	 0.816975 	 numero de thread:0
0.019478	 0.817078 	 numero de thread:0
0.019541	 0.817180 	 numero de thread:0
0.019604	 0.817283 	 numero de thread:0
0.019666	 0.817386 	 numero de thread:0
0.019729	 0.817489 	 numero de thread:0
0.019792	 0.817592 	 numero de thread:0
0.019855	 0.817695 	 numero de thread:0
0.019918	 0.817797 	 numero de thread:0
0.019981	 0.817900 	 numero de thread:0
0.020043	 0.818003 	 numero de thread:0
0.020106	 0.818106 	 numero de thread:0
0.020169	 0.818209 	 numero de thread:0
0.020232	 0.818312 	 numero de thread:0
0.020295	 0.818414 	 numero de thread:0
0.020358	 0.818517 	 numero de thread:0
0.020420	 0.818620 	 numero de thread:0
0.020483	 0.818723 	 numero de thread:0
0.020546	 0.818826 	 numero de thread:0
0.020609	 0.818929 	 numero de thread:0
0.020672	 0.819032 	 numero de thread:0
0.020735	 0.819134 	 numero de thread:0
0.020797	 0.819237 	 numero de thread:0
0.020860	 0.819340 	 numero de thread:0
0.020923	 0.819443 	 numero de thread:0
0.020986	 0.819546 	 numero de thread:0
0.021049	 0.819649 	 numero de thread:0
0.021112	 0.819752 	 numero de thread:0
0.021174	 0.819855 	 numero de thread:0
0.021237	 0.819958 	 numero de thread:0
0.021300	 0.820061 	 numero de thread:0
0.021363	 0.820164 	 numero de thread:0
0.021426	 0.820266 	 numero de thread:0
0.021488	 0.820369 	 numero de thread:0
0.021551	 0.820472 	 numero de thread:0
0.021614	 0.820575 	 numero de thread:0
0.021677	 0.820678 	 numero de thread:0
0.021740	 0.820781 	 numero de thread:0
0.021803	 0.820884 	 numero de thread:0
0.021865	 0.820987 	 numero de thread:0
0.021928	 0.821090 	 numero de thread:0
0.021991	 0.821193 	 numero de thread:0
0.022054	 0.821296 	 numero de thread:0
0.022117	 0.821399 	 numero de thread:0
0.022180	 0.821502 	 numero de thread:0
0.022242	 0.821605 	 numero de thread:0
0.022305	 0.821708 	 numero de thread:0
0.022368	 0.821811 	 numero de thread:0
0.022431	 0.821914 	 numero de thread:0
0.022494	 0.822017 	 numero de thread:0
0.022557	 0.822120 	 numero de thread:0
0.022619	 0.822223 	 numero de thread:0
0.022682	 0.822326 	 numero de thread:0
0.022745	 0.822429 	 numero de thread:0
0.022808	 0.822532 	 numero de thread:0
0.022871	 0.822635 	 numero de thread:0
0.022934	 0.822738 	 numero de thread:0
