Datos que encuentra el metodo de Rungecuta(variable ind.	 variable dep.	 numero de thread)
0.021991	 0.807965 	 numero de thread:3
0.022054	 0.808031 	 numero de thread:3
0.022117	 0.808097 	 numero de thread:3
0.022180	 0.808164 	 numero de thread:3
0.022242	 0.808230 	 numero de thread:3
0.022305	 0.808296 	 numero de thread:3
0.022368	 0.808362 	 numero de thread:3
0.022431	 0.808428 	 numero de thread:3
0.022494	 0.808495 	 numero de thread:3
0.022557	 0.808561 	 numero de thread:3
0.022619	 0.808627 	 numero de thread:3
0.022682	 0.808693 	 numero de thread:3
0.022745	 0.808760 	 numero de thread:3
0.022808	 0.808826 	 numero de thread:3
0.022871	 0.808892 	 numero de thread:3
0.022934	 0.808958 	 numero de thread:3
0.022996	 0.809025 	 numero de thread:3
0.023059	 0.809091 	 numero de thread:3
0.023122	 0.809157 	 numero de thread:3
0.023185	 0.809224 	 numero de thread:3
0.023248	 0.809290 	 numero de thread:3
0.023311	 0.809356 	 numero de thread:3
0.023373	 0.809423 	 numero de thread:3
0.023436	 0.809489 	 numero de thread:3
0.023499	 0.809555 	 numero de thread:3
0.023562	 0.809622 	 numero de thread:3
0.023625	 0.809688 	 numero de thread:3
0.023688	 0.809754 	 numero de thread:3
0.023750	 0.809821 	 numero de thread:3
0.023813	 0.809887 	 numero de thread:3
0.023876	 0.809954 	 numero de thread:3
0.023939	 0.810020 	 numero de thread:3
0.024002	 0.810087 	 numero de thread:3
0.024065	 0.810153 	 numero de thread:3
0.024127	 0.810220 	 numero de thread:3
0.024190	 0.810286 	 numero de thread:3
0.024253	 0.810352 	 numero de thread:3
0.024316	 0.810419 	 numero de thread:3
0.024379	 0.810485 	 numero de thread:3
0.024442	 0.810552 	 numero de thread:3
0.024504	 0.810618 	 numero de thread:3
0.024567	 0.810685 	 numero de thread:3
0.024630	 0.810752 	 numero de thread:3
0.024693	 0.810818 	 numero de thread:3
0.024756	 0.810885 	 numero de thread:3
0.024819	 0.810951 	 numero de thread:3
0.024881	 0.811018 	 numero de thread:3
0.024944	 0.811084 	 numero de thread:3
0.025007	 0.811151 	 numero de thread:3
0.025070	 0.811218 	 numero de thread:3
0.025133	 0.811284 	 numero de thread:3
0.025196	 0.811351 	 numero de thread:3
0.025258	 0.811417 	 numero de thread:3
0.025321	 0.811484 	 numero de thread:3
0.025384	 0.811551 	 numero de thread:3
0.025447	 0.811617 	 numero de thread:3
0.025510	 0.811684 	 numero de thread:3
0.025573	 0.811751 	 numero de thread:3
0.025635	 0.811817 	 numero de thread:3
0.025698	 0.811884 	 numero de thread:3
0.025761	 0.811951 	 numero de thread:3
0.025824	 0.812018 	 numero de thread:3
0.025887	 0.812084 	 numero de thread:3
0.025950	 0.812151 	 numero de thread:3
0.026012	 0.812218 	 numero de thread:3
